Provider_Number,Hospital_Name,Address,City,State,ZIP_Code,County_Name,HBIPS-2_Overall_Rate_Per_1000,HBIPS-2_Overall_Num,HBIPS-2_Overall_Den,HBIPS-3_Overall_Rate_Per_1000,HBIPS-3_Overall_Num,HBIPS-3_Overall_Den,HBIPS-5_Overall_%_of_Total,HBIPS-5_Overall_Num,HBIPS-5_Overall_Den,HBIPS-6_Overall_%_of_Total,HBIPS-6_Overall_Num,HBIPS-6_Overall_Den,HBIPS-7_Overall_%_of_Total,HBIPS-7_Overall_Num,HBIPS-7_Overall_Den,SUB-1_%,SUB-1_Numerator,SUB-1_Denominator,TOB-1_%,TOB-1_Numerator,TOB-1_Denominator,TOB-2_%,TOB-2_Numerator,TOB-2/-2a_Denominator,TOB-2a_%,TOB-2a_Numerator,TOB-2/-2a__Denominator,PEoC_Measure_Description,PEoC_Assessed_Response,EHR_Use_Response,HIE_Response,FUH-30_%,FUH-30_Numerator,FUH-30_Denominator,FUH-7_%,FUH-7_Numerator,FUH-7_Denominator,IMM-2_%,IMM-2_Numerator,IMM-2_Denominator,HCP_%,HCP_Numerator,HCP_Denominator
220019,HARRINGTON MEMORIAL HOSPITAL-1,100 SOUTH STREET PO BOX 8002,SOUTHBRIDGE,MA,1550,Worcester,-0.0536452744189154,5.45,4415.0,-0.04427325161065635,0,4415,0.589624221650776,64,72,0.49723540656463067,506,513,0.6146817375259016,498,513,0.24746240836338637,390,412,0.3944075472051165,408,411,-0.7875012962604364,92,206,-0.9267420320286093,24,206,Assessment of Patient Experience of Care,No,Certified EHR Technology,Yes,1.4902392971767415,64,85,0.7949963545750592,36,85,0.4336243227535132,240,261,0.5756258969345114,31,34
220020,SAINT ANNE'S HOSPITAL,795 MIDDLE STREET ,FALL RIVER,MA,2721,Bristol,-0.054037552280934285,10.0,10514.0,-0.04427325161065635,0,10514,,Not Available,Not Available,0.34708455567610924,230,240,0.5174327366358138,228,240,0.4949167605735321,403,404,0.44404585298775223,415,415,-0.9179324339523575,27,66,,Not Available,Not Available,Assessment of Patient Experience of Care,Yes,Paper or Other Form,Yes,1.1018518631852623,47,67,1.1167815671535741,31,67,0.5361904207518974,266,281,0.6756616969294172,232,249
220024,HOLYOKE MEDICAL CENTER,575 BEECH STREET ,HOLYOKE,MA,1040,Hampden,-0.0536452744189154,7.08,6336.0,-0.04427325161065635,0,6336,0.8556615413887533,27,28,0.507387955201221,253,256,0.47722401511395046,241,256,0.28975814243466885,491,514,0.4175267581175771,514,516,-1.9032962021689235,39,310,-1.2085271958990327,12,310,Assessment of Patient Experience of Care,Yes,Certified EHR Technology,Yes,0.9922873146857202,79,115,0.3878395549859181,43,115,0.220922673029926,120,139,-0.07460680303237649,198,253
220029,ANNA JAQUES HOSPITAL,25 HIGHLAND AVENUE ,NEWBURYPORT,MA,1950,Not Available,-0.05286071869487764,9.08,5643.0,-0.04427325161065635,0,5643,,Not Available,Not Available,-0.014666782585559384,171,192,-0.27131276577562063,150,192,0.47790123537244183,501,504,0.2550123049388118,490,504,,Not Available,Not Available,-1.3486953943795645,0,233,Assessment of Patient Experience of Care,Yes,Paper or Other Form,Yes,0.6537706407009288,70,109,0.48141994843987396,42,109,0.7254267639223485,297,298,1.0257869969115876,45,45
220030,UMASS MEMORIAL HEALTHCARE WING MEMORIAL HOSPITAL,40 WRIGHT STREET ,PALMER,MA,1069,Hampden,-0.04266149428238677,6.85,857.0,-0.04427325161065635,0,857,0.6608968192463612,30,33,0.1696821268683193,753,814,0.30890843665033707,737,814,0.4394947642042657,638,647,0.4250065028245495,706,708,0.5988947433128897,213,252,1.1808516293621294,176,252,Assessment of Patient Experience of Care,No,Paper or Other Form,No,0.7897818043555321,68,103,0.26717010026897514,37,103,0.5925828510166922,225,234,0.8757332969192289,139,143
220033,NORTHEST HOSPITAL CORPORATION,85 HERRICK STREET ,BEVERLY,MA,1915,Not Available,-0.04893794007468885,100.23,25037.0,-0.04427325161065635,1.25,25037,0.393448160942135,80,96,-1.035265092895438,652,932,-0.968419786579087,574,908,0.0593193154256141,483,532,-0.2549702887184014,445,496,-0.959670398013772,83,209,,Not Available,Not Available,Assessment of Patient Experience of Care,Yes,Paper or Other Form,No,1.2212394401709699,241,336,1.0322308607872805,152,336,-0.5435921533786965,205,310,0.225500596952341,210,249
220035,NORTH SHORE MEDICAL CENTER,81 HIGHLAND AVENUE ,SALEM,MA,1970,Essex,-0.05089932938478325,60.0,20438.0,-0.03247158244836312,146,20438,-0.8926341075524624,15,32,-0.11672661361654703,597,685,0.020901780168153167,578,685,-0.5308763301207842,280,356,-0.05097725125551608,331,357,-0.84071720043874,69,160,,Not Available,Not Available,Assessment of Patient Experience of Care,Yes,Paper or Other Form,No,1.7939975626720226,138,174,1.5641615183150293,90,174,0.11192253936374634,247,296,0.825715396921776,286,299
220036,ST ELIZABETH'S MEDICAL CENTER,736 CAMBRIDGE STREET ,BRIGHTON,MA,2135,Suffolk,-0.05442983014295316,15.0,19840.0,-0.04427325161065635,0,19840,-1.4561110301274618,17,55,-1.554113762691716,285,473,-1.2353869957533188,272,473,0.4122699238825207,504,514,0.3780881042080861,511,516,0.13595115859836454,183,257,-0.9962828436778653,25,257,Assessment of Patient Experience of Care,Yes,Paper or Other Form,Yes,0.9681075522582346,160,234,0.6513422418167937,95,234,0.6474613905361226,285,292,0.225500596952341,179,212
220046,BERKSHIRE MEDICAL CENTER,725 NORTH STREET ,PITTSFIELD,MA,1201,Berkshire,-0.05129160724680212,95.87,35675.0,-0.042699695722350585,33.75,35675,-2.090154881014922,33,255,-0.23161071660954408,408,480,0.0012649626807314915,403,480,-0.1949412468649679,557,651,0.37196831308419925,654,661,-0.8421084659074538,159,369,-0.7304341158103964,63,369,Assessment of Patient Experience of Care,Yes,Paper or Other Form,No,0.9658406995306578,149,218,0.48141994843987396,84,218,0.12403366532665495,382,456,-0.374714203017094,104,145
220052,SIGNATURE HEALTHCARE BROCKTON HOSPITAL,680 CENTRE STREET ,BROCKTON,MA,2302,Plymouth,-0.05521438586699092,2.25,6603.0,-0.04427325161065635,0,6603,,Not Available,Not Available,-0.2577936051986454,180,213,-0.5438904942319727,154,213,0.4710950252920056,535,539,-0.6935553192636049,448,538,-1.467482294094318,58,231,-1.160717887890169,12,231,Assessment of Patient Experience of Care,No,Certified EHR Technology,Yes,0.7051526358593351,98,151,0.3082141324856224,55,151,-0.4800087420734247,99,146,0.42557219694215265,88,100
220058,UMASS MEMORIAL HEALTHCARE-CLINTON HOSPITAL,201 HIGHLAND STREET ,CLINTON,MA,1510,Worcester,-0.054822108004972045,2.58,6596.0,-0.04427325161065635,0,6596,,Not Available,Not Available,-4.773540369821044,0,392,-3.924228361709547,0,393,-4.3545079217372775,0,417,-2.600890219541582,201,364,,Not Available,Not Available,,Not Available,Not Available,Assessment of Patient Experience of Care,No,Paper or Other Form,No,0.7293323982868196,15,23,,Not Available,Not Available,-1.0265233011496877,103,193,-0.4747500030119998,67,96
220060,BETH ISRAEL DEACONESS HOSPITAL PLYMOUTH,275 SANDWICH STREET ,PLYMOUTH,MA,2360,Plymouth,-0.055606663729009805,0.0,5300.0,-0.04427325161065635,0,5300,,Not Available,Not Available,-0.938548708515287,150,209,-0.9712250462201474,132,209,0.03646989586986328,252,279,0.22849321006863668,244,252,,Not Available,Not Available,,Not Available,Not Available,Assessment of Patient Experience of Care,Yes,Certified EHR Technology,Yes,1.1985709128952027,25,35,,Not Available,Not Available,0.7049892388599401,112,113,0.025428996962529343,40,50
220065,NOBLE HOSPITAL,115 WEST SILVER STREET PO BOX 1634,WESTFIELD,MA,1086,Hampden,-0.05207616297083988,12.71,6055.0,-0.04427325161065635,0,6055,,Not Available,Not Available,0.5506698730730013,278,279,-0.42186169984585276,209,279,0.4774150775095533,486,489,-0.41816471868870997,427,489,-0.6421140547798415,84,172,0.2094534166365819,74,172,Assessment of Patient Experience of Care,Yes,Paper or Other Form,No,-0.24919236245046686,46,88,-0.06939096390753278,28,88,0.28564150239422054,243,276,0.5756258969345114,281,308
220066,MERCY MEDICAL CTR,271 CAREW STREET ,SPRINGFIELD,MA,1104,Hampden,-0.04854566221266997,97.13,23063.0,-0.04151952880612126,40.13,23063,,Not Available,Not Available,0.017393897319462663,650,725,-0.3194697229471546,559,725,-0.4735097022999649,277,347,0.3658485219603125,344,348,-1.6302603539338354,48,235,-0.8709645060182684,31,235,Assessment of Patient Experience of Care,Yes,Paper or Other Form,No,-0.997253762550787,75,177,-1.0117619436017546,36,177,0.2841276116488567,264,300,0.9257511969166818,407,416
220070,HALLMARK HEALTH SYSTEM,MELROSE WAKEFIELD HOSPITAL  585 LEBANON STREET,MELROSE,MA,2176,Not Available,-0.04344605000642453,101.14,13638.0,-0.040339361889891935,34.26,13638,0.393448160942135,15,18,-0.27061787716065483,300,356,-0.4438362337008245,265,356,-0.2357785073475854,377,445,0.12921659850336628,453,475,0.29559887113327604,119,157,-0.8872631337485626,20,157,Assessment of Patient Experience of Care,Yes,Certified EHR Technology,No,1.5317982638489813,135,178,0.9616351253746473,79,178,0.3306797520687878,265,297,0.825715396921776,188,195
220071,MASSACHUSETTS GENERAL HOSPITAL,55 FRUIT STREET ,BOSTON,MA,2114,Suffolk,-0.05286071869487764,14.33,8818.0,-0.04387986263857991,2.05,8818,0.9816235084264955,11,11,0.4550221780230176,273,279,0.5501607657815166,267,279,0.472067341017782,550,554,0.28493128376670146,542,555,-0.3826430448647134,134,238,-0.2530654191764398,72,238,Assessment of Patient Experience of Care,Yes,Paper or Other Form,No,1.6300285487106392,135,175,2.0090788275434863,100,175,0.6996906212511674,291,294,0.6256437969319644,198,215
220073,MORTON HOSPITAL,88 WASHINGTON STREET ,TAUNTON,MA,2780,Bristol,-0.054822108004972045,2.0,4874.0,-0.04427325161065635,0,4874,,Not Available,Not Available,0.22685700603227546,204,218,0.4080276106344647,202,218,0.45407950009091463,181,183,0.44404585298775223,197,197,0.29768576933634683,22,29,,Not Available,Not Available,Assessment of Patient Experience of Care,Yes,Paper or Other Form,Yes,,Not Available,Not Available,,Not Available,Not Available,0.6213467751786004,157,162,0.7256795969268701,99,105
220077,BAYSTATE MEDICAL CENTER,759 CHESTNUT ST ,SPRINGFIELD,MA,1199,Hampden,-0.0536452744189154,10.1,9317.0,-0.04387986263857991,2.4,9317,-1.4882189825096312,12,40,-0.05367394313667012,825,934,0.08027977590392847,800,934,0.3947682408185419,844,864,0.4127669205767769,860,864,-0.7930663581352916,190,427,-0.45806593685080965,105,427,Assessment of Patient Experience of Care,No,Certified EHR Technology,Yes,-0.3685799394361749,73,144,-0.8574363824671609,32,144,0.6111280126473962,489,506,0.7256795969268701,63,67
220080,HOLY FAMILY HOSPITAL,70 EAST STREET ,METHUEN,MA,1844,Essex,-0.054822108004972045,9.0,21770.0,-0.04427325161065635,1,21770,,Not Available,Not Available,-3.040660620954586,192,592,-2.4393109250416662,188,592,0.36219566400502556,553,570,0.4209266420752917,595,597,-0.14473664971464933,185,293,,Not Available,Not Available,Assessment of Patient Experience of Care,Yes,Paper or Other Form,Yes,0.5585628261427065,51,81,-0.24916382501644802,24,81,0.21486711004847167,243,282,0.17548269695488808,96,115
220084,EMERSON HOSPITAL,133 OLD ROAD NINE ACRE CORNER ,CONCORD,MA,1742,Middlesex,-0.045799717178537806,52.17,8799.0,-0.04427325161065635,0,8799,0.32817375225310896,22,27,0.5650971790302611,1131,1132,-1.892285295034922,492,1132,-1.5814634718224045,559,980,0.44404585298775223,927,927,0.21351420847916036,307,418,-0.36099855392372293,114,418,Assessment of Patient Experience of Care,Yes,Certified EHR Technology,Yes,0.6333689661527385,55,86,0.6595510482601232,35,86,0.08542945131988308,475,574,0.825715396921776,50,52
220086,BETH ISRAEL DEACONESS MEDICAL CENTER,"ONE DEACONESS ROAD, WEST CAMPUS ",BOSTON,MA,2215,Suffolk,-0.04972249579872661,31.16,8424.0,-0.03365174936459244,55.13,8424,-0.2582374220234402,24,37,-0.16588632280424803,288,334,0.5239783424649543,274,288,0.41275608174540923,505,515,0.3780881042080861,509,514,-2.340849192079421,0,208,-1.3486953943795645,0,208,Assessment of Patient Experience of Care,Yes,Paper or Other Form,No,1.775862740851408,68,86,1.3277478927471411,42,86,0.04341898313604296,209,256,0.8757332969192289,117,121
220095,HEYWOOD HOSPITAL,242 GREEN STREET ,GARDNER,MA,1440,Worcester,-0.05521438586699092,2.0,6752.0,-0.04427325161065635,0,6752,,Not Available,Not Available,0.22471962737194104,275,294,0.2584137631112524,263,294,0.29218893174911026,432,452,0.38284794174888626,439,443,,Not Available,Not Available,,Not Available,Not Available,Assessment of Patient Experience of Care,No,Certified EHR Technology,Yes,-0.6126444164386021,28,59,-0.594754576280618,15,59,0.09981141340083718,202,243,0.4755900969396055,48,54
220098,NASHOBA VALLEY MEDICAL CENTER,200 GROTON ROAD ,AYER,MA,1432,Middlesex,-0.055606663729009805,0.0,5686.0,-0.04427325161065635,0,5686,,Not Available,Not Available,0.024874722630634574,176,196,0.25046552746158235,175,196,0.405949871664973,141,144,0.44404585298775223,170,170,-0.02195747210065428,14,21,-1.3486953943795645,0,21,Assessment of Patient Experience of Care,Yes,Paper or Other Form,Yes,,Not Available,Not Available,,Not Available,Not Available,0.7382948352579394,141,141,0.6756616969294172,70,75
220101,NEWTON-WELLESLEY HOSPITAL,2014 WASHINGTON STREET ,NEWTON,MA,2462,Middlesex,-0.04305377214440565,66.28,8642.0,-0.04348647366650347,4,8642,0.6746573702672911,21,23,-2.4993694752247917,103,242,-2.282216385142294,85,242,-0.27175418920131944,430,512,-1.1199007675610346,395,513,-2.340849192079421,0,190,-1.3486953943795645,0,190,Assessment of Patient Experience of Care,No,Paper or Other Form,No,0.9869979916547074,140,204,0.9805153801943048,91,204,-0.19199102776799817,227,301,0.4755900969396055,83,93
220111,GOOD SAMARITAN MEDICAL CENTER,235 NORTH PEARL STREET ,BROCKTON,MA,2301,Plymouth,-0.055606663729009805,0.0,5364.0,-0.04427325161065635,0,5364,,Not Available,Not Available,0.37700785692079686,187,194,0.5824212516537092,187,194,0.45262102650224967,264,267,0.44404585298775223,276,276,-0.7815884180184026,13,29,-1.3486953943795645,0,29,Assessment of Patient Experience of Care,Yes,Paper or Other Form,Yes,-0.42071755217043943,18,36,,Not Available,Not Available,0.7382948352579394,174,174,0.6256437969319644,54,59
220116,TUFTS MEDICAL CENTER,800 WASHINGTON STREET ,BOSTON,MA,2111,Suffolk,0.028733076605049337,346.0,6697.0,0.3691785580416831,1689.75,6697,,Not Available,Not Available,0.4224271534529116,211,217,0.06157804496352669,185,217,-0.339816290005682,346,419,0.2652119568119564,408,419,-1.6086957391687713,24,114,,Not Available,Not Available,Assessment of Patient Experience of Care,No,Paper or Other Form,No,0.4512651303707413,48,78,0.4756737839295433,30,78,0.3026727732795607,223,252,0.8757332969192289,120,124
220119,FAULKNER HOSPITAL-BRIGHAM AND WOMEN'S,1153 CENTRE STREET ,JAMAICA PLAIN,MA,2130,Suffolk,-0.04266149428238677,55.6,7024.0,-0.04151952880612126,11.67,7024,0.9816235084264955,12,12,-1.955940950834663,135,256,-1.732385495494489,120,256,-0.07729104404599878,454,516,0.25637225852189743,493,507,-1.0309727532853559,90,239,-0.9850549001303293,24,239,Assessment of Patient Experience of Care,Yes,Paper or Other Form,No,1.2884894044224127,61,84,1.520654844165383,43,84,-1.1169782731851632,156,306,0.7256795969268701,116,123
220126,NORWOOD HOSPITAL,800 WASHINGTON STREET ,NORWOOD,MA,2062,Norfolk,-0.05325299655689652,30.0,20985.0,-0.04427325161065635,0,20985,,Not Available,Not Available,0.2883066425169019,467,493,0.419248649198706,458,493,0.45407950009091463,546,552,0.44404585298775223,493,493,-0.20699577943959294,154,251,,Not Available,Not Available,Assessment of Patient Experience of Care,Yes,Paper or Other Form,Yes,0.5086920661360181,228,366,0.7055203643427679,151,366,0.6205898298059188,280,289,0.6756616969294172,156,168
220163,UMASS MEMORIAL MEDICAL CENTER/UNIVERSITY CAMPUS,55 LAKE AVENUE NORTH ,WORCESTER,MA,1655,Not Available,-0.04540743931651893,114.4,18356.0,-0.04073275086196838,40.4,18356,,Not Available,Not Available,-0.2813047704623291,343,408,-0.41765381038426225,306,408,,Not Available,Not Available,0.3556488700871688,304,308,-1.9206870205278463,18,149,,Not Available,Not Available,Assessment of Patient Experience of Care,No,Paper or Other Form,No,1.0678490722716112,138,198,1.1323782993959,92,198,0.22016572765724432,435,504,0.07544689695998226,121,149
220175,METROWEST MEDICAL CENTER,115 LINCOLN STREET ,FRAMINGHAM,MA,1701,Middlesex,0.03618635598340805,897.66,16007.0,-0.04427325161065635,.5,16007,,Not Available,Not Available,-0.15626811883274172,407,471,-0.8174033092353445,313,471,0.44630097428470195,552,559,-1.5455662390669223,394,557,-0.8501082423525584,87,203,,Not Available,Not Available,Assessment of Patient Experience of Care,Yes,Paper or Other Form,Yes,0.870632884972436,157,234,1.0724540123595945,107,234,0.23189838093381238,136,157,0.825715396921776,244,253
220176,ST VINCENT HOSPITAL,123 SUMMER STREET ,WORCESTER,MA,1608,Worcester,-0.055606663729009805,0.16,4119.0,-0.04427325161065635,0,4119,,Not Available,Not Available,-0.14771860419140262,174,201,-0.7374534094651284,137,201,0.3301092450543978,423,439,0.35088903254636766,431,437,-1.4299181264390448,77,294,-1.2132356883544508,11,294,Assessment of Patient Experience of Care,Yes,Certified EHR Technology,Yes,0.7912930395072507,35,53,-0.048048067154876355,17,53,0.6527600081448952,259,265,0.7756974969243231,40,42
224001,TAUNTON STATE HOSPITAL,60 HODGES AVENUE ,TAUNTON,MA,2780,Bristol,-0.04697655076459445,88.0,16756.0,-0.042699695722350585,18.05,16756,,Not Available,Not Available,0.5699062810160147,36,36,0.6212273433550421,35,36,0.5070707071457397,11,11,0.44404585298775223,11,11,,Not Available,Not Available,,Not Available,Not Available,Assessment of Patient Experience of Care,Yes,Paper or Other Form,No,,Not Available,Not Available,,Not Available,Not Available,,Not Available,Not Available,-0.17464260302728232,160,211
224007,MCLEAN HOSPITAL CORPORATION,115 MILL STREET ,BELMONT,MA,2478,Middlesex,-0.05129160724680212,154.0,59532.0,-0.042699695722350585,53,59532,0.004624385940476267,175,242,0.3230390457473423,4166,4368,0.20838663284567865,3861,4368,0.2635056178387003,3751,3949,0.26997179435275664,4718,4842,-0.08212970362252733,1143,1760,-0.5131190794064708,406,1760,Assessment of Patient Experience of Care,Yes,Paper or Other Form,No,1.930764343902485,563,694,2.144524133858422,408,694,-0.14998055958415804,2126,2778,-0.5747858030069056,1614,2359
224013,ARBOUR HOSPITAL,49 ROBINWOOD AVENUE ,BOSTON,MA,2130,Suffolk,-0.04697655076459445,225.0,42432.0,-0.04427325161065635,0,42432,-0.2783489965924913,36,56,0.564562834365178,967,968,-0.13245241354313936,785,968,0.4458148164218134,548,555,0.2604521192711553,540,555,-0.7332419429805972,159,344,-0.1904062503466413,110,344,Assessment of Patient Experience of Care,Yes,Paper or Other Form,No,-0.03610820605825455,211,383,-0.04558542522187742,123,383,-0.01600122861947896,241,301,,Not Available,Not Available
224018,ARBOUR HUMAN RESOURCE INSTITUTE,227 BABCOCK STREET ,BROOKLINE,MA,2446,Norfolk,-0.05129160724680212,52.51,19277.0,-0.04427325161065635,0,19277,0.052962731834512056,28,38,0.5244869844839,466,470,0.5122897606272034,446,470,0.02480210716054429,590,655,0.2672518871865854,638,655,0.16586336617571174,289,401,0.8642960596670776,245,401,Assessment of Patient Experience of Care,Yes,Certified EHR Technology,Yes,0.8026273031451338,184,278,0.8623085674103608,120,278,-0.7377486414715791,183,300,-1.5251259029585111,106,216
224021,ARBOUR-FULLER HOSPITAL,200 MAY STREET ,SOUTH ATTLEBORO,MA,2703,Bristol,-0.040700104972292366,243.3,26424.0,-0.04427325161065635,0,26424,-0.5863736386763827,25,45,0.5357082224506575,621,625,0.5641870639868176,600,625,0.31941377207085525,473,492,0.23665293156715242,477,492,1.125836539588251,303,304,2.2373648980125473,301,304,Assessment of Patient Experience of Care,Yes,Paper or Other Form,No,0.5351386812910801,161,257,0.3845560324085864,96,257,-0.07731380380670475,233,297,-1.1249827029788877,297,521
224022,BOURNEWOOD HOSPITAL,300 SOUTH STREET ,BROOKLINE,MA,2467,Middlesex,-0.04501516145450005,212.23,32179.0,-0.038372417029509734,116.6,32179,-1.316035677427227,15,43,0.5314334651299879,829,835,0.0007974194072218787,701,835,0.45262102650224967,618,625,0.25841218889652634,606,623,0.35994489906129074,330,425,-0.6156193382436558,86,425,Assessment of Patient Experience of Care,Yes,Paper or Other Form,No,0.9084137637653814,244,361,0.8204436545493802,154,361,-1.2237075707332976,183,380,-0.924911102989076,262,428
224023,WESTWOOD PEMBROKE HEALTH SYSTEMS,45 CLAPBOARDTREE STREET ,WESTWOOD,MA,2090,Norfolk,-0.04736882862661333,367.0,71519.0,-0.03404513833666888,446.6,71519,-0.4537078134489565,70,118,0.5378456011109927,1987,1999,0.6506825695861744,1956,1999,0.19836046421166834,782,835,-0.44468381355888414,725,834,0.000650591765945072,239,355,0.008074816235610774,133,355,Assessment of Patient Experience of Care,Yes,Paper or Other Form,No,0.30694217338168994,489,820,0.05127849080941016,273,820,-0.816092487544146,363,616,-0.4747500030119998,501,712
224028,DR JOHN C CORRIGAN MENTAL HEALTH CENTER,49 HILLSIDE STREET ,FALL RIVER,MA,2720,Bristol,-0.051683885108821,14.1,5670.0,-0.04427325161065635,0,5670,,Not Available,Not Available,0.1365527576331293,170,185,-1.422404305157334,99,185,-0.7360349482596474,131,176,-0.48344249067683287,152,176,0.1926452264484532,59,81,1.0211250776052443,53,81,Assessment of Patient Experience of Care,Yes,Paper or Other Form,No,0.7127088116179238,26,40,-0.4240114022593654,11,40,-2.27775400219271,13,64,-0.7248395029992644,171,263
224031,CAPE COD & ISLANDS COMMUNITY MENTAL HEALTH CENTER,830 COUNTY ROAD ,POCASSET,MA,2559,Barnstable,-0.03206999200787702,82.65,5773.0,-0.04427325161065635,0,5773,-1.350613472300333,20,59,0.5367769117808247,161,162,0.7222166904332102,161,162,-0.640261849270652,136,178,-0.24341068326217108,160,178,0.4851587912455347,78,96,0.7639689511939318,56,96,Assessment of Patient Experience of Care,Yes,Paper or Other Form,No,2.2949720154664788,55,64,1.679905689165975,34,64,0.10738086712765534,65,78,-0.3246963030196411,103,141
224032,WORCESTER RECOVERY CENTER AND HOSPITAL,309 BELMONT STREET ,WORCESTER,MA,1604,Worcester,-0.039915549248254606,956.92,98540.0,-0.04309308469442703,68.6,98540,0.8965903598099804,81,83,0.4999071298900491,378,383,-0.042216561755701695,318,383,0.3053151940470942,416,434,0.3345695895493372,427,434,0.9122772901406788,188,201,1.4984937742392006,158,201,Assessment of Patient Experience of Care,No,Paper or Other Form,No,0.5819869709943328,31,49,,Not Available,Not Available,-0.916387749424485,130,231,-0.6748216030018114,581,875
224033,BALDPATE HOSPITAL,83 BALDPATE ROAD ,GEORGETOWN,MA,1833,Essex,-0.054822108004972045,3.9,7576.0,-0.04427325161065635,0,7576,0.558221938551731,22,25,0.5228839504886489,1352,1364,0.7376456184590414,1360,1364,0.45991339444557444,1231,1243,0.34544921821402413,1225,1243,1.0868811064642636,1225,1243,2.1830361389115662,1212,1243,Assessment of Patient Experience of Care,Yes,Paper or Other Form,No,-0.5718410673422212,24,50,-0.5471434989093074,13,50,-2.6516850162975216,65,623,0.7256795969268701,101,108
224038,"WALDEN BEHAVIORAL CARE, LLC",9 HOPE AVENUE ,WALTHAM,MA,2453,Middlesex,-0.054037552280934285,16.22,16443.0,-0.04427325161065635,0,16443,,Not Available,Not Available,0.30113091447891055,415,437,0.5052766115245526,414,437,0.2513516712664927,414,437,0.38352791854042956,444,448,1.1171411304087895,172,173,1.6031671834404246,141,173,Assessment of Patient Experience of Care,Yes,Paper or Other Form,No,0.6507481703974938,43,67,0.8713382544980232,29,67,-1.3788813721330673,63,143,-0.6748216030018114,143,217
224039,WHITTIER PAVILION,76 SUMMER STREET ,HAVERHILL,MA,1830,Essex,-0.0536452744189154,22.0,18923.0,-0.04427325161065635,0,18923,0.9816235084264955,166,166,0.5020445085503843,1943,1968,0.653955372500745,1927,1968,0.49248597125909077,1968,1974,0.4236465492414639,1968,1974,1.13731447970514,1219,1219,2.273221879019195,1219,1219,Assessment of Patient Experience of Care,No,Paper or Other Form,No,0.823028977693324,319,480,0.36239225501159655,178,480,-2.513542485783092,150,1065,0.7756974969243231,386,407
224040,DR SOLOMON CARTER FULLER MENTAL HEALTH CENTER,85 EAST NEWTON STREET ,BOSTON,MA,2118,Suffolk,-0.024616712629518304,398.5,21144.0,-0.04427325161065635,0,21144,-2.5467229071965427,0,14,0.4128089494814053,132,136,,Not Available,Not Available,0.2985089839666579,223,233,-0.144814048488443,211,231,1.13731447970514,80,80,2.2279479131017106,79,80,Assessment of Patient Experience of Care,Yes,Paper or Other Form,No,-0.8181723970722253,17,38,,Not Available,Not Available,-0.15035903227049913,101,132,-0.17464260302728232,176,231
224041,SOUTHCOAST BEHAVIORAL HEALTH,581 FAUNCE CORNER ROAD ,DARTMOUTH,MA,2747,Bristol,-0.025008990491537184,37.0,1969.0,0.005687147843051652,60,1969,,Not Available,Not Available,,Not Available,Not Available,,Not Available,Not Available,0.324275350699738,128,133,0.23937283873332368,129,133,0.5143753660885251,55,67,-0.3754862230173179,18,67,Assessment of Patient Experience of Care,Yes,Paper or Other Form,No,,Not Available,Not Available,,Not Available,Not Available,-2.1827573579211434,34,149,,Not Available,Not Available
230002,ST MARY MERCY HOSPITAL,36475 FIVE MILE RD ,LIVONIA,MI,48154,Wayne,-0.029716324835763742,106.92,6710.0,-0.03404513833666888,42.13,6710,,Not Available,Not Available,0.5202122271632297,318,321,0.5908370305768895,310,321,0.4492179214620319,499,505,0.44404585298775223,504,504,-1.1568822782039567,80,235,-1.0248959901377155,21,235,Assessment of Patient Experience of Care,Yes,Paper or Other Form,No,1.0353575165096776,151,218,0.8582041641886957,94,218,0.5467876559694428,300,316,1.0257869969115876,84,84
230013,DOCTORS' HOSPITAL OF MICHIGAN,461 W HURON ST ,PONTIAC,MI,48341,Oakland,-0.04501516145450005,53.66,8145.0,-0.025783969923063626,91.58,8145,0.8785957930903028,233,240,0.5474638050824989,239,240,0.03025264563835406,203,240,0.405949871664973,235,240,0.3876077792896874,238,240,-0.13534560780083116,104,164,0.5506380237907449,86,164,Assessment of Patient Experience of Care,No,Paper or Other Form,No,-0.1585182533473981,54,101,-0.568486395661964,26,101,-0.11326870900909056,93,120,0.07544689695998226,47,58
230019,PROVIDENCE HOSP AND MED CTRS,16001 W NINE MILE RD ,SOUTHFIELD,MI,48075,Oakland,-0.03481593704200917,94.05,7395.0,-0.03168480450421024,56.17,7395,0.9816235084264955,32,32,-1.9457884021980723,145,274,-1.535549777346763,140,274,-0.6295663762871094,426,556,0.419566688492206,556,558,-2.156158701107661,12,226,-1.3486953943795645,0,226,Assessment of Patient Experience of Care,Yes,Paper or Other Form,No,0.7746694528383538,104,158,1.3187182056594782,77,158,0.35755131279899166,277,308,0.5756258969345114,51,56
230021,"LAKELAND HOSPITAL, ST JOSEPH",1234 NAPIER AVE ,ST. JOSEPH,MI,49085,Berrien,-0.027754935525669346,76.5,4490.0,-0.02657074786721651,47.98,4490,,Not Available,Not Available,0.5314334651299879,412,415,0.6950991805696282,410,415,0.4749842881951119,299,301,0.44404585298775223,256,256,0.8131496254948191,146,161,1.485817063782305,126,161,Assessment of Patient Experience of Care,Yes,Certified EHR Technology,Yes,-0.47738887035985755,33,67,-0.3534156668467321,19,67,0.6845517137975311,139,141,0.5756258969345114,60,66
